Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Profit growth,Profit growth 3Years,Sales growth,Sales growth 3Years,Return on capital employed,Average return on capital employed 3Years,rocev2,epsgeni,gordanIV,discount2,discount1,geniscore1,momentumscore,CashFlow,master score,epsgrowthbydiscount,epsgrowthbydiscount2,epsgrowthbyprice2,accumulation,roicreinv,Return over 1week,Return over 1month,Return over 3months,volumeincr,rsiincr,equityreduce,debtgeni,epsgrowth,Canslim,capacity expansion,BSchklist,cyclicaltriggers,margin,garp,fundamental value,Volume,Volume 1week average,Volume 1month average,debtreduce,npmargin,opmargin,pubholdingdecr,Quarterly Growers,YOY Quarterly sales growth,YOY Quarterly profit growth,Price to Earning,Promoter holding,Change in promoter holding,Industry PE,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,Market Capitalization
Lloyds Metals,512455,LLOYDSME,INE281B01032,Minerals & Mining,Industrial Minerals,1229.00,23.04,113.53,21.64,113.40,38.28,66.25,1.43,,0.09,0.37,-0.43,,0,-0.23,,,,,0,0.00,-2.86,-6.18,-7.13,0,0,0,1,,0,1,4,1,0.09,1,0,249717,275595,492133,0,0.00,0.16,0,0,154.33,89.95,37.06,63.73,0.68,21.41,1294.13,1285.90,1296.79,1286.47,66901.73
Mah. Seamless,500265,MAHSEAMLES,INE271B01025,Industrial Products,Iron & Steel Products,518.65,-7.11,4.01,0.81,7.76,16.63,19.82,0.48,0.02,0.18,0.48,0.22,3.05,0,0.23,5,0.18,0.26,0.55,0,0.00,-3.11,-7.54,-8.72,0,0,0,4,0.54,0,0,5,3,-0.07,0,0,118773,107280,174017,1,-0.18,0.00,0,0,-10.31,-43.08,8.87,69.81,0.76,22.13,559.54,615.70,561.21,616.68,6949.48
Mahanagar Gas,539957,MGL,INE002S01010,Gas,LPG/CNG/PNG/LNG Supplier,1062.60,-14.13,17.87,19.06,24.82,22.89,28.76,0.67,0.01,0.14,0.50,0.40,1.77,0,0.13,4,0.21,0.29,0.42,0,0.00,0.38,-5.27,-17.13,0,0,0,2,0.58,0,0,5,2,-0.10,0,0,236810,249621,273853,0,-0.28,0.02,0,0,14.73,-32.57,10.60,32.50,0.00,20.58,1149.17,1271.17,1152.71,1273.26,10496.13
Man Infra,533169,MANINFRA,INE949H01023,Construction,Civil Construction,115.50,0.42,9.48,-21.85,4.84,23.52,27.85,0.68,1.03,0.14,0.41,0.21,4.59,0,0.26,7,0.29,0.40,1.02,0,0.00,-3.93,-8.85,-20.08,0,0,0,4,0.98,0,0,8,2,0.23,0,0,503407,368086,332138,2,0.30,0.19,0,0,-35.42,23.96,17.17,62.44,0.14,17.58,130.02,151.51,130.61,151.87,4662.35
Marathon Nextgen,503101,MARATHON,INE182D01020,Realty,"Residential, Commercial Projects",509.70,29.54,55.28,-21.43,23.75,11.95,14.81,0.37,2.03,0.14,0.43,0.20,4.74,0,0.15,7,0.08,0.39,0.29,0,0.00,2.19,-4.03,-17.04,0,0,0,4,0.92,0,0,8,1,0.24,0,0,40766,55328,79030,2,0.18,0.29,0,1,-19.96,36.41,15.13,55.92,0.00,33.22,542.16,573.03,543.48,573.67,3436.43
Master Trust,511768,MASTERTR,INE677D01037,Capital Markets,Stockbroking & Allied,106.94,-13.81,33.48,-12.21,20.78,30.09,29.41,0.75,2.04,0.20,0.62,0.57,12.13,0,0.41,8,0.48,0.62,1.05,0,0.00,-4.09,-10.27,-14.68,0,0,0,3,1.01,0,0,9,2,0.19,0,0,114366,178312,211302,1,0.05,0.28,0,1,-17.47,-14.88,11.13,71.93,2.69,20.56,119.29,134.53,119.79,134.81,1315.53
Monarch Networth,511551,MONARCH,INE903D01011,Capital Markets,Stockbroking & Allied,298.00,1.51,40.20,-6.26,28.69,33.31,38.76,1.01,2.04,0.18,0.52,0.41,5.62,0,-0.12,7,0.36,0.54,1.04,0,0.00,-0.78,-0.80,-3.39,0,0,0,4,1.04,0,1,9,2,0.29,0,0,45032,52524,73420,2,0.09,0.42,0,0,-20.11,2.27,15.19,52.86,-0.01,20.56,306.79,324.36,307.15,324.62,2362.20
MPS,532440,MPSLTD,INE943D01017,Other Consumer Services,E-Learning,1887.70,37.29,18.08,16.76,17.43,40.94,37.61,1.19,3.01,0.10,0.26,-0.38,6.69,0,0.64,12,-0.26,0.39,1.00,0,0.30,0.49,-6.09,-17.79,0,0,0,4,1.49,0,1,6,4,0.12,1,0,21577,29568,31551,1,0.01,0.19,0,0,9.42,28.21,19.67,68.34,0.00,21.89,2043.36,2219.75,2049.71,2223.09,3229.06
Natco Pharma,524816,NATCOPHARM,INE987B01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,859.40,-20.88,139.37,-3.79,31.57,32.78,26.85,1.06,2.08,0.25,0.46,0.50,6.25,0,0.18,9,0.41,0.50,1.12,0,0.00,-3.46,-6.06,4.02,0,0,0,4,1.08,0,0,8,2,0.18,0,0,505199,643530,684374,2,0.07,0.26,0,1,-0.59,-23.46,10.00,49.48,-0.08,30.36,886.98,915.80,888.11,916.37,15392.70
NESCO,505355,NESCO,INE317F01035,Commercial Services & Supplies,Diversified Commercial Services,1182.60,10.14,26.47,18.69,29.46,21.12,21.80,0.60,3.01,0.08,0.28,0.03,4.47,0,0.04,10,-0.02,0.33,0.58,0,0.00,1.09,-3.01,-10.59,0,0,0,2,1.20,0,1,8,4,0.20,0,0,43572,33512,35895,0,-0.03,0.35,0,1,24.51,11.26,20.15,68.54,0.00,22.43,1244.75,1212.20,1247.28,1212.50,8332.59
Nucleus Soft.,531209,NUCLEUS,INE096B01018,IT - Software,Software Products,910.00,2.88,72.17,6.64,18.73,22.60,27.23,0.63,0.03,0.13,0.39,0.09,2.91,1,0.51,5,0.03,0.28,0.71,0,0.00,-0.21,-0.05,-9.65,0,0,0,3,0.71,0,0,7,3,-0.06,0,0,15519,12209,11311,0,-0.18,0.01,0,0,5.59,-20.48,14.86,73.60,0.00,43.08,935.68,1005.46,936.73,1006.42,2395.60
One Global Serv,514330,,INE670O01013,Healthcare Services,Healthcare Service Provider,528.60,363.85,158.89,333.98,189.11,56.38,53.66,1.92,2.11,0.34,0.51,0.19,1825.88,0,0.19,,0.23,0.54,1.13,0,0.00,-6.14,-23.88,102.49,0,0,0,4,1.06,0,1,,3,0.16,,0,12785,26930,24226,2,0.13,0.18,0,0,595.41,771.81,23.54,66.24,51.19,36.48,533.47,380.12,533.67,378.63,1033.04
Pix Transmission,500333,PIXTRANS,INE751B01018,Industrial Products,Rubber,1303.40,-15.85,17.91,2.84,9.48,26.87,22.98,0.77,1.01,0.09,0.37,0.17,5.82,0,1.02,10,0.13,0.30,0.83,0,0.00,-0.63,-10.04,-10.35,0,0,0,4,0.82,0,0,6,3,0.10,0,0,8451,10084,8038,2,-0.03,0.19,1,0,-13.49,-41.92,18.45,62.06,0.24,26.39,1406.04,1499.12,1410.23,1501.09,1776.53
Pricol Ltd,540293,PRICOLLTD,INE726V01018,Auto Components,Auto Components & Equipments,606.90,14.52,46.30,35.16,20.34,22.87,22.48,0.60,3.01,0.05,0.26,-0.81,2.69,0,0.15,6,0.00,0.32,1.29,0,0.00,-3.11,-9.49,15.61,0,0,0,2,1.26,0,0,5,1,0.03,0,0,415443,460872,481236,1,-0.02,0.07,0,1,50.54,41.98,38.87,38.51,0.00,28.64,617.95,537.45,618.40,536.75,7396.99
REC Ltd,532955,RECLTD,INE020B01018,Finance,Financial Institution,371.00,16.00,16.63,15.58,12.80,9.96,9.72,0.40,2.04,0.26,0.70,0.61,4.72,3,-0.09,6,0.53,0.73,0.34,0,0.00,2.04,10.09,-1.05,0,1,0,0,1.04,0,0,7,2,0.32,0,0,10463668,7461634,8814669,0,-0.03,0.56,0,0,10.75,9.34,5.66,52.63,0.00,20.34,362.52,387.65,362.17,387.82,97692.61
RMC Switchgears,540358,,INE655V01019,Electrical Equipment,Other Electrical Equipment,387.35,137.94,278.34,113.95,96.72,37.19,32.81,1.15,2.18,0.42,0.48,0.52,,2,0.08,,0.55,0.59,0.94,1,0.00,0.30,-6.76,-44.77,1,0,,1,1.22,0,0,6,1,,0,0,110375,56906,28428,0,,0.09,0,0,86.07,90.05,10.03,52.09,0.02,28.08,474.96,641.81,478.54,644.37,407.76
RPG LifeScience.,532983,RPGLIFE,INE105J01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,2307.20,28.01,31.46,7.78,14.08,32.80,33.54,1.00,3.02,0.11,0.25,-0.37,6.12,0,0.46,10,-0.37,0.36,1.47,0,0.30,-1.49,-1.44,1.29,0,0,0,5,1.45,0,0,7,3,0.16,0,0,6461,6118,5289,2,0.15,0.16,0,0,5.50,38.23,34.24,72.95,0.00,30.36,2317.56,2293.59,2317.98,2293.46,3815.88
Shakti Pumps,531431,SHAKTIPUMP,INE908D01010,Industrial Products,"Compressors, Pumps & Diesel Engines",711.65,22.16,84.74,12.83,28.77,55.31,32.36,1.55,1.04,0.14,0.45,0.24,3.64,1,-0.03,5,0.17,0.47,0.22,1,0.00,3.87,-1.92,-11.43,0,0,0,2,1.05,0,0,7,0,0.21,0,0,805062,3859630,2392854,0,0.24,0.19,0,0,5.00,-10.56,21.85,50.34,0.04,38.23,721.59,790.44,721.99,791.24,8781.62
